,Season,Date,HID,AID,N,POFF,Open,OddsH,OddsA,H,A,HSC,ASC,HFGM,AFGM,HFGA,AFGA,HFG3M,AFG3M,HFG3A,AFG3A,HFTM,AFTM,HFTA,AFTA,HORB,AORB,HDRB,ADRB,HRB,ARB,HAST,AAST,HSTL,ASTL,HBLK,ABLK,HTOV,ATOV,HPF,APF
0,1,2007-10-23,19,39,0,0,2007-10-22,1.6319929782233018,2.200625817136953,1,0,105,87,42.0,34.0,97.0,87.0,11.0,5.0,37.0,26.0,10.0,14.0,14.0,23.0,12.0,6.0,43.0,41.0,55.0,47.0,21.0,18.0,7.0,8.0,5.0,5.0,15.0,16.0,20.0,20.0
1,1,2007-10-23,0,16,0,0,2007-10-22,1.2574341864059329,3.7883838375852603,1,0,108,100,42.0,33.0,95.0,91.0,7.0,10.0,26.0,37.0,17.0,24.0,18.0,37.0,17.0,16.0,41.0,29.0,58.0,45.0,28.0,21.0,7.0,12.0,7.0,6.0,21.0,15.0,29.0,21.0
2,1,2007-10-24,24,31,0,0,2007-10-23,1.9880893280942125,1.7670793421450512,1,0,104,101,39.0,38.0,94.0,97.0,7.0,9.0,25.0,33.0,19.0,16.0,31.0,22.0,14.0,14.0,37.0,38.0,51.0,52.0,20.0,16.0,7.0,4.0,7.0,5.0,12.0,17.0,25.0,28.0
3,1,2007-10-24,29,42,0,0,2007-10-23,1.6912237814848057,2.0978288263729774,0,1,98,107,35.0,33.0,88.0,87.0,8.0,8.0,28.0,24.0,20.0,33.0,24.0,42.0,9.0,14.0,38.0,42.0,47.0,56.0,21.0,20.0,3.0,6.0,9.0,9.0,14.0,11.0,32.0,22.0
4,1,2007-10-24,33,15,0,0,2007-10-23,1.4318831981721478,2.7371996070687925,1,0,116,104,45.0,34.0,92.0,85.0,14.0,7.0,33.0,19.0,12.0,29.0,20.0,39.0,8.0,14.0,35.0,35.0,43.0,49.0,21.0,17.0,6.0,4.0,7.0,0.0,10.0,16.0,29.0,25.0
5,1,2007-10-24,5,34,0,0,2007-10-23,1.3336273975174449,3.209268773007058,1,0,103,100,39.0,40.0,92.0,82.0,6.0,5.0,24.0,27.0,19.0,15.0,22.0,22.0,14.0,5.0,32.0,34.0,46.0,39.0,21.0,28.0,5.0,9.0,5.0,5.0,17.0,19.0,20.0,23.0
6,1,2007-10-24,14,13,0,0,2007-10-23,1.4736556137903754,2.590904062304326,1,0,112,108,40.0,39.0,93.0,91.0,11.0,6.0,25.0,19.0,21.0,24.0,29.0,27.0,19.0,14.0,33.0,32.0,52.0,46.0,22.0,20.0,3.0,9.0,4.0,2.0,12.0,11.0,22.0,27.0
7,1,2007-10-24,30,36,0,0,2007-10-23,2.830544634472366,1.4085856982943052,0,1,117,123,49.0,41.0,95.0,79.0,7.0,13.0,19.0,27.0,12.0,28.0,18.0,38.0,5.0,5.0,32.0,39.0,37.0,44.0,17.0,21.0,8.0,8.0,3.0,4.0,9.0,17.0,27.0,19.0
8,1,2007-10-24,41,2,0,0,2007-10-23,1.5295751489807052,2.4284513317632506,0,1,112,113,41.0,42.0,92.0,85.0,16.0,14.0,38.0,34.0,14.0,15.0,22.0,20.0,9.0,11.0,32.0,46.0,41.0,57.0,21.0,26.0,8.0,5.0,9.0,4.0,11.0,21.0,19.0,25.0
9,1,2007-10-24,43,11,0,0,2007-10-23,1.687944503007011,2.1030853572575943,1,0,121,100,44.0,38.0,81.0,88.0,19.0,10.0,34.0,33.0,14.0,14.0,16.0,20.0,6.0,10.0,38.0,28.0,44.0,38.0,35.0,28.0,5.0,7.0,2.0,5.0,12.0,9.0,22.0,16.0
10,1,2007-10-24,37,25,0,0,2007-10-23,1.143367171361168,5.5489756683053155,1,0,111,83,47.0,25.0,83.0,84.0,10.0,10.0,26.0,29.0,7.0,23.0,13.0,28.0,13.0,7.0,44.0,21.0,57.0,28.0,29.0,16.0,2.0,11.0,7.0,3.0,20.0,10.0,24.0,18.0
