,Season,Date,Player,Team,Game,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,ORB,DRB,RB,AST,STL,BLK,TOV,PF,PTS
0,1,2007-10-23,1218,39,0,34.21,3,10,2,7,0,0,1,5,6,0,2,1,2,1,8
1,1,2007-10-23,2398,0,1,6.16667,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0
2,1,2007-10-23,3212,0,1,14.5667,3,5,0,0,0,0,2,1,3,1,1,0,1,2,6
3,1,2007-10-23,4278,0,1,32.75,1,6,0,1,0,0,1,12,13,5,3,0,6,3,2
4,1,2007-10-23,2926,0,1,26.5483,6,7,0,0,0,0,2,1,3,2,0,3,2,4,12
5,1,2007-10-23,1819,0,1,6.65167,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0
6,1,2007-10-23,338,0,1,36.6117,11,20,5,9,5,5,0,8,8,9,1,0,3,4,32
7,1,2007-10-23,1891,16,1,35.6,6,12,0,0,5,8,4,7,11,4,2,0,2,3,17
8,1,2007-10-23,3179,16,1,29.1033,2,7,1,4,2,4,2,0,2,2,0,3,0,1,7
9,1,2007-10-23,4107,16,1,34.0833,7,19,2,6,5,6,2,6,8,6,3,1,3,4,21
10,1,2007-10-23,1393,0,1,37.7167,9,21,0,5,9,10,1,7,8,6,1,1,3,4,27
11,1,2007-10-23,2464,16,1,18.8967,2,9,1,4,2,3,3,2,5,0,1,1,1,0,7
12,1,2007-10-23,2280,0,1,18.0667,5,11,0,0,0,0,8,2,10,2,1,2,1,4,10
13,1,2007-10-23,2172,16,1,13.9167,1,5,0,3,4,5,0,3,3,1,0,0,2,0,6
14,1,2007-10-23,4112,16,1,12.4,1,2,0,0,1,2,3,4,7,1,1,1,0,3,3
15,1,2007-10-23,103,16,1,26.5033,0,2,0,2,0,0,2,2,4,1,0,0,1,3,0
16,1,2007-10-23,1381,0,1,34.9833,5,20,1,8,3,3,1,3,4,0,0,0,2,3,14
17,1,2007-10-23,4300,0,1,13.205,1,2,1,1,0,0,1,1,2,1,0,0,2,2,3
18,1,2007-10-23,2018,0,1,10.3833,1,2,0,1,0,0,0,2,2,2,0,0,0,0,2
19,1,2007-10-23,4744,0,1,2.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
